customerID,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C1038,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Bank transfer,72.12,835.73,No
C1039,0,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Credit card,32.2,497.62,No
C1040,0,No,Yes,30,Yes,No,DSL,No,Yes,No,Month-to-month,No,Credit card,98.19,3017.45,No
C1041,0,No,Yes,64,Yes,Yes,DSL,No,Yes,Yes,Two year,Yes,Mailed check,107.51,6844.7,No
C1042,0,Yes,No,47,No,No phone service,DSL,No,No,No,One year,Yes,Mailed check,59.1,2760.58,No
C1043,0,No,No,0,Yes,Yes,DSL,No,Yes,Yes,Month-to-month,Yes,Electronic check,73.9,73.9,No
C1044,0,No,No,48,Yes,No,No,No internet service,No internet service,No internet service,Two year,No,Credit card,94.65,4622.91,No
C1045,0,No,No,52,Yes,Yes,Fiber optic,No,No,No,Two year,Yes,Bank transfer,113.89,5879.37,No
C1046,0,Yes,No,17,No,No phone service,Fiber optic,No,No,Yes,Month-to-month,Yes,Mailed check,103.92,1781.2,No
C1047,0,No,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.61,103.57,Yes
C1048,0,No,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,One year,No,Electronic check,57.11,2255.71,No
C1049,0,No,No,8,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Bank transfer,77.52,650.43,No
C1050,0,Yes,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,52.64,511.84,No
C1051,0,No,No,0,Yes,No,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,109.57,109.57,Yes
C1052,0,Yes,Yes,31,Yes,No,DSL,No,No,No,One year,Yes,Electronic check,105.73,3362.02,No
C1053,0,No,No,20,Yes,Yes,Fiber optic,No,Yes,Yes,One year,Yes,Electronic check,44.6,886.44,No
C1054,0,Yes,No,29,No,No phone service,No,No internet service,No internet service,No internet service,One year,Yes,Electronic check,60.94,1755.07,No
C1055,0,No,No,26,Yes,Yes,Fiber optic,No,No,No,One year,No,Bank transfer,46.26,1270.14,No
C1056,0,No,No,10,Yes,No,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Bank transfer,60.12,569.67,No
C1057,0,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,One year,No,Mailed check,59.36,1381.29,No
C1058,0,Yes,No,17,Yes,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Mailed check,88.86,1474.48,No
C1059,0,No,No,5,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Credit card,42.79,339.91,No
C1060,0,No,Yes,6,Yes,No,DSL,Yes,No,Yes,One year,No,Credit card,18.0,223.43,No
C1061,0,No,No,14,Yes,No,DSL,No,No,No,Month-to-month,No,Bank transfer,24.89,342.95,Yes
C1062,0,No,Yes,14,Yes,No,DSL,Yes,Yes,No,One year,Yes,Bank transfer,39.29,576.05,No
C1063,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Credit card,48.61,389.14,No
C1064,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,69.68,749.05,No
C1065,1,Yes,No,27,Yes,Yes,DSL,Yes,No,Yes,One year,No,Electronic check,38.01,1032.25,No
C1066,0,Yes,Yes,22,No,No phone service,DSL,Yes,No,Yes,One year,Yes,Mailed check,34.72,761.81,No
C1067,0,Yes,No,0,Yes,No,DSL,No,No,No,Month-to-month,Yes,Electronic check,41.76,41.76,No
C1068,0,No,Yes,3,Yes,No,Fiber optic,No,No,Yes,Month-to-month,No,Credit card,37.11,124.48,No
C1069,0,Yes,Yes,22,Yes,No,Fiber optic,No,No,No,Month-to-month,No,Bank transfer,51.14,1122.97,No
C1070,0,No,Yes,2,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,Credit card,50.07,115.75,No
C1071,1,Yes,No,6,Yes,No,DSL,Yes,No,Yes,Month-to-month,No,Electronic check,82.23,489.5,No
C1072,0,Yes,Yes,54,Yes,No,DSL,No,No,Yes,Two year,Yes,Mailed check,40.26,2156.02,No
C1073,0,Yes,No,17,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,56.06,996.77,No
C1074,0,Yes,No,20,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Credit card,51.37,1054.06,Yes
C1075,1,Yes,No,0,Yes,No,DSL,Yes,Yes,No,Month-to-month,No,Credit card,85.22,85.22,Yes
C1076,0,No,Yes,28,Yes,Yes,DSL,No,No,Yes,Month-to-month,No,Electronic check,61.14,1736.66,No
C1077,0,Yes,Yes,31,Yes,No,DSL,No,Yes,Yes,One year,No,Credit card,91.27,2819.49,No
C1078,0,Yes,No,53,Yes,No,DSL,No,Yes,No,One year,Yes,Credit card,36.19,1948.91,No
C1079,1,No,No,14,Yes,Yes,DSL,No,Yes,No,One year,No,Credit card,63.77,793.75,No
C1080,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,Yes,No,One year,Yes,Bank transfer,50.6,206.38,No
C1081,0,No,Yes,8,Yes,Yes,DSL,No,No,No,Month-to-month,Yes,Credit card,34.35,288.52,No
C1082,0,No,No,38,Yes,Yes,Fiber optic,Yes,No,Yes,Two year,Yes,Electronic check,63.31,2515.0,No
C1083,0,Yes,Yes,15,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,No,Electronic check,108.32,1581.33,No
C1084,0,Yes,No,20,Yes,Yes,DSL,No,Yes,No,Month-to-month,Yes,Electronic check,43.68,817.72,No
C1085,0,No,No,6,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,No,Mailed check,61.81,389.15,No
C1086,0,Yes,No,21,Yes,No,No,No internet service,No internet service,No internet service,One year,No,Credit card,32.19,694.12,No
C1087,0,Yes,No,14,Yes,Yes,DSL,Yes,No,No,Month-to-month,No,Bank transfer,28.52,416.19,No
C1088,0,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Mailed check,45.32,190.57,No
C1089,0,Yes,No,3,Yes,Yes,DSL,No,No,Yes,Month-to-month,No,Credit card,53.75,129.84,No
C1090,0,No,No,20,Yes,No,DSL,Yes,Yes,No,Month-to-month,Yes,Bank transfer,54.86,1022.93,Yes
C1091,0,No,Yes,39,Yes,No,DSL,Yes,Yes,Yes,One year,No,Mailed check,59.35,2328.81,No
C1092,0,No,No,21,Yes,No,Fiber optic,Yes,No,No,Month-to-month,Yes,Bank transfer,23.79,435.46,No
C1093,0,Yes,No,5,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,No,Mailed check,49.35,177.9,Yes
C1094,0,No,No,0,Yes,Yes,Fiber optic,Yes,No,No,Month-to-month,No,Bank transfer,77.54,77.54,No
C1095,0,No,No,22,Yes,No,DSL,Yes,No,Yes,One year,Yes,Credit card,31.04,704.41,No
C1096,0,No,No,0,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,Yes,Mailed check,56.12,99.39,Yes
C1097,0,No,No,6,Yes,No,DSL,Yes,No,Yes,Month-to-month,Yes,Mailed check,72.32,482.88,No
C1098,0,No,No,0,Yes,No,DSL,No,Yes,No,Month-to-month,No,Bank transfer,45.44,,No
C1099,0,Yes,No,41,Yes,Yes,Fiber optic,No,No,No,Two year,No,Credit card,73.54,3047.82,No
C1100,0,No,Yes,29,Yes,No,DSL,No,Yes,Yes,Two year,Yes,Mailed check,26.97,800.47,No
C1101,0,No,Yes,8,Yes,No,Fiber optic,No,No,No,One year,No,Credit card,87.21,822.97,No
C1102,0,Yes,No,22,Yes,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Bank transfer,74.15,1565.16,Yes
C1103,0,Yes,No,30,No,No phone service,Fiber optic,No,Yes,Yes,Two year,No,Electronic check,66.39,1971.04,No
C1104,0,Yes,No,24,Yes,No,Fiber optic,No,No,No,One year,No,Mailed check,93.12,2218.12,No
C1105,0,No,No,35,No,No phone service,DSL,Yes,No,Yes,One year,Yes,Electronic check,56.77,2031.63,No
C1106,0,No,No,18,Yes,No,DSL,No,No,Yes,Month-to-month,No,Electronic check,49.55,842.96,No
C1107,0,No,No,17,Yes,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Electronic check,99.31,1726.44,No
C1108,0,No,No,11,Yes,No,DSL,No,Yes,No,Month-to-month,Yes,Bank transfer,111.02,1250.2,No
C1109,0,Yes,No,50,Yes,No,DSL,Yes,No,No,Two year,No,Bank transfer,47.66,2423.67,No
C1110,0,No,No,24,Yes,No,DSL,No,No,No,Month-to-month,Yes,Mailed check,62.16,1531.6,No
C1111,0,Yes,Yes,13,Yes,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Mailed check,91.13,1261.61,No
C1112,0,No,No,0,No,No phone service,Fiber optic,No,No,Yes,Month-to-month,Yes,Mailed check,63.05,,No
C1113,0,Yes,Yes,17,Yes,No,DSL,No,No,No,One year,No,Credit card,79.86,1384.13,No
C1114,1,No,Yes,16,Yes,No,DSL,No,No,No,Month-to-month,No,Credit card,84.51,1315.33,Yes
C1115,0,Yes,No,34,Yes,Yes,DSL,Yes,No,Yes,Two year,No,Bank transfer,50.94,1683.72,No
C1116,0,No,Yes,43,Yes,No,DSL,No,No,Yes,One year,No,Electronic check,75.48,3333.88,No
C1117,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,Yes,One year,No,Credit card,64.85,1450.94,No
C1118,1,Yes,Yes,9,Yes,No,DSL,Yes,No,No,Month-to-month,No,Credit card,34.58,343.29,No
C1119,1,No,No,37,Yes,Yes,DSL,Yes,No,No,One year,No,Electronic check,40.26,1516.17,No
C1120,1,Yes,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Electronic check,48.69,1081.24,No
C1121,0,Yes,No,26,Yes,No,Fiber optic,No,Yes,Yes,One year,No,Electronic check,88.21,2210.55,No
C1122,1,Yes,No,18,Yes,No,DSL,Yes,No,No,Month-to-month,Yes,Bank transfer,89.03,1647.1,No
C1123,0,Yes,No,0,Yes,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Mailed check,83.75,83.75,No
C1124,0,Yes,No,4,No,No phone service,Fiber optic,Yes,No,No,Month-to-month,Yes,Electronic check,76.0,274.0,No
C1125,0,Yes,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,75.32,1267.9,Yes
C1126,0,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,71.94,627.36,Yes
C1127,0,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,Yes,Bank transfer,75.19,1916.31,No
C1128,0,Yes,No,0,Yes,No,DSL,Yes,Yes,No,Month-to-month,No,Mailed check,76.88,76.88,Yes
C1129,0,No,No,3,Yes,No,Fiber optic,Yes,Yes,No,One year,Yes,Electronic check,29.89,32.71,No
C1130,0,No,No,17,Yes,Yes,DSL,Yes,Yes,Yes,Month-to-month,No,Bank transfer,45.24,715.65,No
C1131,0,Yes,No,52,Yes,No,Fiber optic,No,Yes,No,Two year,Yes,Credit card,39.28,2080.21,No
C1132,0,No,Yes,21,Yes,Yes,No,No internet service,No internet service,No internet service,One year,No,Electronic check,92.68,1882.39,No
C1133,0,Yes,No,12,Yes,No,DSL,No,No,No,Month-to-month,Yes,Mailed check,106.35,1270.29,No
C1134,0,Yes,Yes,32,Yes,No,No,No internet service,No internet service,No internet service,One year,No,Mailed check,18.0,710.05,No
C1135,0,No,No,0,Yes,No,Fiber optic,Yes,Yes,No,Month-to-month,No,Electronic check,104.12,104.12,Yes
C1136,0,No,No,33,Yes,Yes,DSL,No,No,No,Two year,No,Credit card,67.17,2253.72,No
C1137,1,Yes,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,90.32,850.15,No
C1138,0,Yes,Yes,34,Yes,No,Fiber optic,Yes,No,No,One year,Yes,Mailed check,77.66,2579.07,No
C1139,0,Yes,Yes,0,Yes,No,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Electronic check,101.01,101.01,Yes
C1140,0,Yes,Yes,5,No,No phone service,Fiber optic,Yes,No,No,Month-to-month,Yes,Electronic check,70.24,337.08,No
C1141,0,No,No,5,Yes,Yes,DSL,No,Yes,No,Month-to-month,Yes,Bank transfer,30.91,213.23,No
C1142,0,No,No,47,Yes,No,DSL,Yes,Yes,No,Two year,Yes,Electronic check,62.36,2938.08,No
C1143,0,Yes,Yes,23,Yes,No,Fiber optic,No,Yes,Yes,One year,No,Mailed check,77.89,1969.29,No
C1144,1,No,Yes,1,No,No phone service,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,59.6,59.6,No
C1145,0,No,No,22,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,No,Bank transfer,81.44,1811.14,Yes
C1146,1,No,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,63.36,63.36,Yes
C1147,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,50.11,257.04,No
C1148,0,No,Yes,0,Yes,No,DSL,Yes,No,No,Month-to-month,Yes,Credit card,37.85,37.85,No
C1149,0,Yes,No,0,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,No,Credit card,55.2,55.2,No
C1150,0,Yes,No,48,Yes,Yes,Fiber optic,No,No,Yes,Two year,Yes,Electronic check,70.11,3354.42,No
C1151,0,Yes,Yes,45,Yes,Yes,DSL,No,No,Yes,Two year,Yes,Credit card,18.0,883.59,No
C1152,0,Yes,No,15,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,No,Bank transfer,45.5,750.09,No
C1153,0,Yes,No,30,Yes,No,Fiber optic,No,Yes,Yes,One year,Yes,Mailed check,18.0,474.28,No
C1154,0,Yes,Yes,33,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,49.57,1617.51,Yes
C1155,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Electronic check,94.93,1520.02,No
C1156,0,No,No,0,Yes,No,Fiber optic,No,No,No,Month-to-month,No,Electronic check,35.35,35.35,No
C1157,1,No,No,11,Yes,No,Fiber optic,No,No,Yes,One year,Yes,Mailed check,82.58,922.55,No
C1158,1,No,Yes,15,Yes,No,Fiber optic,No,No,Yes,One year,No,Bank transfer,130.0,2006.35,Yes
C1159,0,Yes,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Credit card,101.34,1154.47,No
C1160,0,No,Yes,9,No,No phone service,Fiber optic,No,Yes,No,Month-to-month,No,Mailed check,68.34,573.08,Yes
C1161,1,No,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,Two year,No,Electronic check,86.46,4917.04,No
C1162,0,Yes,Yes,26,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.76,864.99,Yes
C1163,1,No,No,14,Yes,No,DSL,No,No,No,Month-to-month,No,Credit card,25.66,415.23,No
C1164,0,No,Yes,49,Yes,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Electronic check,65.72,3261.27,No
C1165,0,No,Yes,3,No,No phone service,Fiber optic,No,No,Yes,Month-to-month,Yes,Credit card,74.97,222.95,Yes
C1166,0,No,No,22,Yes,No,DSL,No,No,No,Two year,Yes,Electronic check,92.36,2093.4,No
C1167,0,No,No,54,Yes,Yes,DSL,No,No,No,Two year,Yes,Electronic check,50.78,2739.49,No
C1168,0,No,No,0,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,No,Electronic check,69.83,69.83,Yes
C1169,0,No,No,32,Yes,No,DSL,No,No,No,Two year,No,Mailed check,68.98,2257.96,No
C1170,0,Yes,Yes,14,Yes,No,DSL,No,No,No,Month-to-month,No,Electronic check,61.72,953.92,No
C1171,0,Yes,No,6,Yes,No,Fiber optic,Yes,No,No,Month-to-month,Yes,Credit card,63.19,381.32,No
C1172,0,Yes,Yes,5,Yes,No,DSL,No,Yes,Yes,Month-to-month,No,Mailed check,43.63,205.02,No
C1173,0,No,Yes,27,Yes,Yes,Fiber optic,No,Yes,Yes,Two year,No,Electronic check,71.99,2013.48,No
C1174,0,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Bank transfer,69.88,562.75,No
C1175,0,Yes,No,20,Yes,No,DSL,Yes,No,Yes,Month-to-month,No,Mailed check,54.0,1057.83,No
C1176,0,Yes,Yes,8,Yes,No,Fiber optic,No,Yes,No,Month-to-month,No,Bank transfer,81.64,602.87,No
C1177,1,No,No,32,No,No phone service,DSL,Yes,Yes,Yes,Two year,No,Credit card,90.7,2968.35,No
C1178,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,No,Credit card,81.93,2135.02,No
C1179,0,No,Yes,14,Yes,No,Fiber optic,Yes,No,No,One year,Yes,Bank transfer,38.94,465.52,No
C1180,1,Yes,No,46,Yes,No,No,No internet service,No internet service,No internet service,Two year,No,Mailed check,67.49,3096.13,No
C1181,1,No,Yes,46,Yes,No,Fiber optic,No,Yes,Yes,Two year,No,Mailed check,42.21,1946.78,No
C1182,0,No,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,67.41,67.41,No
C1183,0,No,Yes,0,Yes,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Mailed check,42.31,42.31,No
C1184,0,No,Yes,29,Yes,No,Fiber optic,No,Yes,No,One year,Yes,Electronic check,96.93,2824.29,No
C1185,0,No,Yes,13,Yes,No,DSL,Yes,No,Yes,One year,Yes,Electronic check,84.58,1075.52,No
C1186,0,No,Yes,16,Yes,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Credit card,93.82,1602.79,Yes
C1187,1,No,No,0,Yes,No,Fiber optic,No,No,Yes,Month-to-month,No,Credit card,91.29,91.29,Yes
C1188,0,No,No,12,Yes,No,Fiber optic,Yes,No,No,One year,No,Electronic check,58.24,755.3,No
C1189,0,No,No,9,Yes,No,DSL,No,No,Yes,Month-to-month,No,Credit card,54.36,416.43,No
C1190,1,Yes,No,70,Yes,Yes,Fiber optic,No,No,No,Two year,Yes,Credit card,108.54,7524.56,No
C1191,1,Yes,Yes,16,Yes,No,Fiber optic,No,No,Yes,Month-to-month,No,Electronic check,60.87,996.92,Yes
C1192,0,Yes,Yes,9,Yes,No,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Credit card,31.14,373.0,No
C1193,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,Two year,Yes,Credit card,90.19,4098.24,No
C1194,0,No,No,0,Yes,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Bank transfer,68.59,68.59,Yes
C1195,0,Yes,Yes,0,Yes,No,Fiber optic,No,No,No,Month-to-month,No,Credit card,102.65,102.65,No
C1196,0,Yes,No,0,Yes,No,Fiber optic,No,Yes,Yes,One year,No,Electronic check,71.07,71.07,No
C1197,0,No,No,62,Yes,Yes,Fiber optic,No,Yes,Yes,Two year,No,Bank transfer,64.5,4008.66,No
C1198,0,Yes,No,26,No,No phone service,Fiber optic,No,Yes,Yes,Month-to-month,Yes,Bank transfer,103.15,2657.27,No
C1199,0,Yes,No,12,No,No phone service,DSL,No,Yes,Yes,Month-to-month,Yes,Bank transfer,26.54,253.2,No
C1200,0,No,Yes,25,Yes,No,DSL,Yes,No,No,One year,Yes,Electronic check,50.37,1192.85,No
C1201,0,Yes,No,23,Yes,No,Fiber optic,No,Yes,Yes,Two year,No,Bank transfer,42.82,890.56,No
C1202,0,No,Yes,5,Yes,Yes,Fiber optic,No,No,No,Month-to-month,No,Credit card,18.0,113.83,Yes
C1203,0,No,No,29,Yes,Yes,DSL,No,No,Yes,Month-to-month,Yes,Credit card,86.83,2547.95,Yes
C1204,1,No,Yes,9,Yes,No,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,51.06,489.17,No
C1205,0,Yes,No,1,No,No phone service,DSL,No,No,Yes,Month-to-month,No,Mailed check,87.63,87.63,No
C1206,0,Yes,Yes,0,Yes,No,Fiber optic,No,Yes,No,Month-to-month,Yes,Electronic check,74.73,74.73,No
C1207,0,Yes,No,40,Yes,No,DSL,No,No,No,One year,Yes,Bank transfer,80.18,3242.54,No
C1208,0,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,No,Electronic check,53.62,375.7,No
C1209,0,Yes,No,0,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,No,Credit card,45.89,45.89,No
C1210,0,No,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,One year,No,Bank transfer,67.24,774.42,No
C1211,1,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Mailed check,87.98,713.45,Yes
C1212,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,Month-to-month,No,Bank transfer,63.74,463.3,Yes
C1213,1,No,No,44,Yes,No,Fiber optic,No,Yes,Yes,Two year,Yes,Electronic check,47.45,2144.69,No
C1214,0,Yes,Yes,17,Yes,No,Fiber optic,No,Yes,Yes,One year,No,Electronic check,35.02,582.53,No
C1215,0,Yes,No,33,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Electronic check,70.1,2340.23,No
C1216,1,Yes,No,8,Yes,No,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,51.15,354.13,No
C1217,0,No,No,20,Yes,No,DSL,Yes,No,Yes,Month-to-month,Yes,Credit card,63.21,1300.7,Yes
C1218,0,No,Yes,37,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,59.03,2142.57,No
C1219,0,Yes,No,44,Yes,Yes,DSL,No,No,No,Month-to-month,Yes,Bank transfer,53.89,2405.67,No
C1220,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,72.35,220.8,Yes
C1221,0,Yes,No,0,Yes,No,DSL,Yes,Yes,No,Month-to-month,No,Mailed check,78.86,78.86,No
C1222,1,Yes,No,11,Yes,No,Fiber optic,No,No,Yes,One year,Yes,Bank transfer,114.13,1401.57,No
C1223,0,Yes,Yes,39,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Credit card,83.95,3298.58,No
C1224,1,Yes,Yes,0,No,No phone service,Fiber optic,Yes,Yes,Yes,Month-to-month,No,Credit card,104.84,104.84,Yes
C1225,0,No,Yes,45,No,No phone service,Fiber optic,Yes,No,Yes,Two year,No,Bank transfer,44.53,1964.08,No
C1226,0,No,No,0,Yes,Yes,DSL,Yes,No,Yes,Month-to-month,Yes,Mailed check,24.98,,No
C1227,0,No,No,25,Yes,Yes,DSL,No,No,Yes,One year,Yes,Electronic check,64.64,1640.65,No
C1228,0,No,No,7,Yes,No,DSL,No,No,No,One year,Yes,Electronic check,86.45,576.84,No
